,bug_id,bug_status,version,keywords,component,attachments
1438046,1438046,CLOSED-ERRATA,26,,initial-setup,
1438215,1438215,CLOSED-ERRATA,25,,kernel,
1438539,1438539,CLOSED-ERRATA,25,,glib2,
1438578,1438578,CLOSED-ERRATA,25,,livecd-tools,
1438740,1438740,CLOSED-ERRATA,26,,mingw-qt5-qtbase,0021-Prefer-openssl-over-ssleay.patch
1438952,1438952,CLOSED-ERRATA,26,,mate-desktop,
1439247,1439247,CLOSED-ERRATA,26,Reopened,dnfdragora,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1439563,1439563,CLOSED-ERRATA,26,,blivet-gui,hint.png
1439592,1439592,CLOSED-ERRATA,26,,blivet-gui,
1439651,1439651,CLOSED-ERRATA,26,,blivet-gui,no_encryption.png
1439875,1439875,CLOSED-ERRATA,25,,libsemanage,
1440247,1440247,CLOSED-ERRATA,25,,tigervnc,
1440369,1440369,CLOSED-ERRATA,26,,blivet-gui,
1440372,1440372,CLOSED-ERRATA,26,,blivet-gui,"anaconda.log, storage.log, program.log, Screencast_04-08-2017_04:42:56 PM.webm"
1440392,1440392,CLOSED-ERRATA,26,,blivet-gui,Screencast_04-08-2017_09:08:52 PM.webm
1440434,1440434,CLOSED-ERRATA,25,,wxGTK3,
1440476,1440476,CLOSED-ERRATA,26,,gscan2pdf,gscan.log
1440525,1440525,CLOSED-ERRATA,26,,freeipa,
1440734,1440734,CLOSED-NEXTRELEASE,25,,evolution,
1441844,1441844,CLOSED-ERRATA,26,Reopened,gnome-shell-extension-background-logo,f26-fix-gs-background-logo.patch
1442285,1442285,CLOSED-ERRATA,26,,perl-List-MoreUtils-XS,
1442463,1442463,CLOSED-ERRATA,26,,cloud-init,
1443723,1443723,CLOSED-ERRATA,26,,selinux-policy,
1443926,1443926,CLOSED-ERRATA,26,,mediawriter,
1443967,1443967,CLOSED-ERRATA,26,,mediawriter,
1444002,1444002,CLOSED-ERRATA,26,,mediawriter,
1444030,1444030,CLOSED-ERRATA,26,,mediawriter,
1444667,1444667,CLOSED-NEXTRELEASE,26,Regression,dnf-plugins-extras,
1445509,1445509,CLOSED-ERRATA,26,,xfce4-pulseaudio-plugin,
1446284,1446284,CLOSED-ERRATA,26,,mediawriter,
1446301,1446301,CLOSED-CURRENTRELEASE,26,,NetworkManager,0001-connectivity-fix-busy-loop-when-disabling-connectivt.patch
1446782,1446782,CLOSED-ERRATA,26,Patch,sddm,"sddm_screenshot.png, screenshot.png, 61fcb8b5d72875c2887702006dec32d95ab0aa9b.mhtml"
1446842,1446842,CLOSED-ERRATA,26,,sane-backends,
1447280,1447280,CLOSED-CURRENTRELEASE,25,"Security, SecurityTracking",libreoffice,
1447402,1447402,CLOSED-ERRATA,25,,gdm,
1448127,1448127,CLOSED-ERRATA,25,"Patch, Security, SecurityTracking",libtirpc,libtirpc_CVE-2017-8779.patch
1450560,1450560,CLOSED-NEXTRELEASE,25,,evolution-data-server,misfiled-spam.mbox
1450628,1450628,CLOSED-ERRATA,26,,glib2,Снимок экрана от 2017-05-15 00-07-54.jpg
1450765,1450765,CLOSED-ERRATA,25,Reopened,rpcbind,
1451009,1451009,CLOSED-ERRATA,25,,xorg-x11-drv-nouveau,
1451754,1451754,CLOSED-ERRATA,26,,anaconda,
1451826,1451826,CLOSED-ERRATA,25,EasyFix,acl,
1452870,1452870,CLOSED-ERRATA,25,,cinnamon-translations,
1454364,1454364,CLOSED-RAWHIDE,26,,openvswitch,build.log
1454404,1454404,CLOSED-ERRATA,26,,gnome-settings-daemon,0001-Backport-RFKILL-related-fixes-to-Fedora-26.patch
1455585,1455585,CLOSED-ERRATA,26,,devassistant,
1456585,1456585,CLOSED-ERRATA,26,,freetype,
1457912,1457912,CLOSED-ERRATA,26,Reopened,docker-storage-setup,verbose-output.txt
1458284,1458284,CLOSED-ERRATA,25,,AcetoneISO,
1461483,1461483,CLOSED-ERRATA,26,,zsh,
1464297,1464297,CLOSED-ERRATA,26,,anaconda,
1464381,1464381,CLOSED-RAWHIDE,26,,krb5,
1465187,1465187,CLOSED-ERRATA,26,,bind-dyndb-ldap,0001-Bump-and-rebuild-for-BIND-9.11.1-release.patch
1465278,1465278,CLOSED-ERRATA,26,,runc,
1465283,1465283,CLOSED-ERRATA,26,,atomicapp,
1465284,1465284,CLOSED-ERRATA,26,,rpm-ostree-toolbox,
1465285,1465285,CLOSED-ERRATA,26,,gofed,
1465286,1465286,CLOSED-ERRATA,26,,source-to-image,
1465287,1465287,CLOSED-ERRATA,26,,modularity-testing-framework,
1465288,1465288,CLOSED-ERRATA,26,,fedora-dockerfiles,
1465610,1465610,CLOSED-ERRATA,24,,systemd,
1465657,1465657,CLOSED-ERRATA,26,,brltty,build.log
1465662,1465662,CLOSED-ERRATA,26,,java-gnome,
1465663,1465663,CLOSED-ERRATA,26,,java-1.8.0-openjdk,
1466119,1466119,CLOSED-ERRATA,26,,libtimidity,
1466267,1466267,CLOSED-ERRATA,25,"Reopened, Security, SecurityTracking",libgcrypt,
1466689,1466689,CLOSED-ERRATA,26,,qt5-qtwebengine,
1466957,1466957,CLOSED-ERRATA,26,,python-etcd,
1467164,1467164,CLOSED-ERRATA,26,,distribution,
1467579,1467579,CLOSED-ERRATA,26,,paraview,
